Name,data01,data02,data03,data04,data05,data06,data07,data08,data09,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57
NP-008993,39523433.4,12652685.34,17956748.34,29624600.99,6699772.974,15644222.61,8788818.572,7944683.634,5982866.064,7580006.138,7887658.097,7560143.129,8178638.128,10233369.5,10730162.86,10568666.12,9890942.183,8571010.975,11738674.73,8504556.396,539491.1374,1331036.549,10148753.58,528530.6469,853493.3118,11080887.46,6506734.503,9357105.641,7015264.168,9030481.321,8458158.224,6046308.878,6551801.573,7351009.163,7069417.67,10060607.04,742745.6123,535128.4984,738055.9754,7995688.21,7381165.05,6649855.744,8770463.663,7618444.16,6563625.787,18202099.24,7698574.106,7925786.635,7500758.172,10933235.43,9567133.186,11948859.81,10593183.94,9924955.59,8133561.184,8687920.578,9794436.313
NP-011548,1527309.742,1356291.245,1621932.001,837828.8276,561112.1484,1043207.936,889551.0413,1818696.119,967788.3106,1275897.716,449164.9882,619933.6629,545628.6219,885029.4542,1302779.66,947293.4801,982534.2843,943300.4654,1141098.89,1531406.451,60094.27692,84799.23287,925960.7195,58651.26321,60836.09886,1540512.736,523321.8716,1097773.489,577202.0823,1250104.227,816360.1416,781048.8876,87037.7944,107430.5207,1369036.213,1440739.075,56312.14326,55027.59164,56333.04477,558148.6259,346444.9314,663857.6166,617065.681,706649.7314,450492.0331,5378629.52,503683.6337,728717.4199,507941.8594,121957.7248,458794.2517,659880.4331,76497.29939,158190.5755,800679.5688,352277.718,473948.7246
NP-013088,66979.04046,65956.8018,60878.79849,62951.5696,54489.04745,58978.18179,7517341.271,521227.0127,60062.68599,55938.15987,57980.33305,4532332.93,54750.14281,63444.9514,27542841.63,101235.9702,58715.65701,52349.60578,58758.79133,733369.8156,45891.67699,47183.8953,234756.0794,44189.86312,42174.639,57060.61476,3368280.977,59086.07218,59763.82971,61351.39268,63864.43239,57472.00279,52476.25571,55966.04859,56555.96703,56160.18931,41177.79293,40929.16517,43892.32626,55110.51673,59596.88233,60398.0377,51617.94567,57044.60127,56015.91732,66910.98436,57344.25979,56514.74096,59381.20584,70548.34619,61099.94024,59086.52452,61246.66909,61426.52255,61571.27227,65355.00244,60130.10223
NP-016928,196289.2567,1142466.31,15175515.41,1149954.625,186876.0576,9308745.218,662416.228,199613.0941,399513.8352,1457580.17,341734.3923,2999476.929,5899855.076,1213340.665,196877.2808,284682.7484,204550.4873,155469.5775,160379.2931,645084.9311,131286.8648,159615.8305,159751.9687,131623.3503,124398.0934,5344423.366,255988.9545,167004.0377,158364.1599,185312.0241,189608.2949,170310.8914,484991.862,168740.0947,162092.5745,202474.3924,123587.071,121407.3361,123181.2631,158827.01,171731.8805,183459.86,146617.7635,148564.5022,217098.4516,288199.1043,150834.3133,162291.8246,145948.2335,219312.1036,153840.0578,166501.8941,148642.4282,146645.8224,155829.7992,1527762.809,170897.046
NP-017710,20472582.87,6424767.525,4506209.319,15566842.64,7357744.258,6026394.489,8215152.432,4557386.648,10899902.84,6702881.336,8110565.678,6841880.817,2931997.298,5598778.035,5807482.794,7117593.586,8531569.874,2056125.799,8814605.122,3203325.453,96086.60235,780111.2226,5602971.37,96865.81045,98931.12603,5555937.959,6072927.838,5128988.473,10129764.25,9554870.069,8128554.763,7489875.378,42775974.5,4626666.368,12047880.2,2218637.318,99960.78703,99294.16846,98046.2654,2387337.212,4116053.13,2433447.855,4755758.915,12270760.14,6701048.309,2329712.981,5347703.335,5079270.876,5031356.933,6096673.344,97349093.53,6395705.84,4568085.644,5676498.151,7840745.827,37757805.79,34914815.12
NP-019636,7626460.794,2533552.829,2996879.734,8398197.169,6720511.816,1712483.568,4543661.359,2748281.253,5123409.34,2357344.938,3588102.537,2839088.707,1156755.274,2802119.272,2649794.364,6252546.671,3927258.412,1534248.023,2413265.854,1729968.215,120161.5825,186563.3775,2211852.405,134337.0228,72226.55151,1359672.291,3410015.499,3407826.391,4602101.968,3207062.27,1711438.821,2113228.383,1125743.78,1446412.001,2073277.784,984906.9998,76889.26027,75245.16256,101084.2379,1397928.003,1876691.498,1447439.373,823270.8303,2950034.76,1897264.041,2362918.48,1926422.352,1566059.263,3668517.397,1211404.312,3027126.271,1812063.875,1801558.566,2087374.384,2153794.585,2202892.754,2307918.928
NP-021293,62736.722,48739.87811,50401.10797,53290.89519,47343.06585,77545.35644,52582.43158,49390.00796,4995366.09,51012.0156,51398.63374,48500.91058,46908.83407,293983.7799,49738.90785,51073.40226,50901.41054,49193.2246,50790.54717,48791.12897,36969.03478,41434.82572,45714.97719,36795.08357,36004.94951,48424.85481,51874.12217,53032.38959,50627.92253,441624.8351,4805634.781,12771180.63,49377.71042,50245.14599,48381.80118,48935.79892,32704.85838,33722.79455,33437.72516,46234.65918,47947.65709,50077.19251,47440.79261,48284.76195,47824.6898,54201.81117,52632.78169,49281.96306,48875.10584,47535.90258,47624.89881,52383.56339,48913.81907,50967.98321,42613.84823,52202.75023,45068.95901
NP-021733,2827658.704,11734118.99,4350712.1,1193571.069,2574379.728,1519153.95,1724874.707,5035913.097,1897945.868,4310360.152,1359331.952,1150799.305,3833001.899,10376095.83,23989928.88,3508858.221,7318871.915,1099964.335,3283829.152,13509493.05,282501.7231,810320.9908,10927747.47,303879.2769,335980.2029,13112769.33,528311.7809,2162292.163,2681543.934,2510536.484,3438238.362,1357528.301,1333061.776,730725.3484,38878723.4,6720368.418,1081068.15,828299.292,907871.4126,1132976.001,716061.9602,4236783.287,1005080.219,1235455.342,2035131.073,6296878.81,590268.9277,1889391.924,851543.2432,4715968.715,773405.4709,1694930.575,1683851.406,1060035.95,3251479.947,888652.9787,3041452.981
NP-022229,1106898901,707887042.5,697674050.4,845400000.5,587603730.3,581588999.8,583457361.9,598022087.6,584874259.8,573324706.6,575442085.4,559196131.4,577627582.2,562891634.7,552676492,564075543.2,561636080.5,603970005.4,543267197.3,556555889.5,482443767.8,323202656.6,572000480.4,488337322.2,490390227.2,567738647.1,565497264,583512921.5,582849569.7,497909639,572980809,556199473.6,571173810,534746847.7,538303482.8,483852659.6,635609237.9,414021372.2,470114788.1,607390172.2,540339295.1,447309267.7,469244165.3,575562046,659076404.8,484919883.2,535613747.3,512806672.8,579993002.5,549764829.5,465117485.7,421201120.9,428657495.6,306492477.9,392255939.9,442621070.9,423082003.2
NP-022231,30592273.97,9727606.267,11818875.38,10371886.64,30905552.39,153211328.9,16508555.79,7279522.387,17514336.08,20674328.09,17870172.25,19641473.81,8905712.255,15326375.16,129437360.5,17747515.58,15412424.52,8758142.344,17233759.18,178217725.2,18373344.09,18872600.14,17416713.2,18555982.87,18231685.76,12001103.07,17994362.31,7858715.679,16140647.29,12792068.69,16557354.14,115837403.5,16930536,97384046.72,6714513.893,148766935.2,15348744.94,15476587.18,15398698.64,15576728.18,103183941.1,139760716.2,5668235.876,93712768.5,18334682.44,108674297.6,18120325.21,8172692.684,18021793.67,82142994.47,13572524.72,5290150.304,6111829.052,16907833.74,5096622.151,5384168.392,3780474.568
